Symbol,Sector,PE_Ratio
FURC,Real Estate,-497.557373
AAEO,Consumer Discretionary,424.815491
VYBF,Consumer Staples,154.398605
OSCI,Financials,-480.703247
BFCT,Telecommunication Services,-458.969696
BELS,Industrials,122.083038
TXMS,Information Technology,65.498795
RBGT,Industrials,-111.293526
NARQ,Information Technology,399.341003
YCAU,Industrials,-96.612656
FOVR,Real Estate,-285.603485
WSBE,Utilities,-103.882813
WKQI,Industrials,-10.770165
WELO,Telecommunication Services,432.135895
DHQT,Consumer Discretionary,-181.327133
JVHA,Information Technology,23.218328
GFXO,Consumer Staples,292.387299
YYFZ,Consumer Staples,-216.415848
GZDL,Real Estate,-351.315552
DIUU,Consumer Discretionary,177.078674
SGQQ,Real Estate,213.353806
BKTF,Consumer Staples,-236.246582
UWJW,Real Estate,-401.245758
JPOP,Health Care,139.273697
BLEM,Real Estate,-476.862274
ZAMX,Information Technology,286.453613
GVLA,Telecommunication Services,-133.825989
RERT,Consumer Discretionary,454.644409
IDOU,Telecommunication Services,-23.136570
QSFS,Consumer Staples,428.893616
NLHS,Consumer Discretionary,-392.795715
STVD,Consumer Discretionary,402.063110
RUKE,Industrials,332.431885
VGXB,Industrials,-196.454453
JSVJ,Information Technology,-221.925690
ICUL,Information Technology,-499.433441
ECOF,Industrials,48.034546
VNRR,Telecommunication Services,-356.055420
VYNG,Information Technology,-438.017914
QOKK,Energy,300.690186
SUMP,Real Estate,-355.262207
UDWE,Financials,449.646942
QSDG,Health Care,-361.905731
VDHE,Information Technology,-62.799370
ABDH,Industrials,209.463730
JPNZ,Real Estate,-214.210602
UNQK,Information Technology,243.453506
HTLU,Real Estate,-45.758324
ZJGE,Financials,-230.019226
RGEK,Energy,165.759491
UZHJ,Real Estate,412.557068
HSHH,Industrials,245.595627
RNJX,Energy,-113.340096
CLJC,Telecommunication Services,48.337688
ZNAH,Financials,-360.143402
OOCV,Information Technology,394.371063
JDYD,Information Technology,-219.868988
LJEN,Financials,116.020660
NHXN,Financials,-119.170753
SOET,Information Technology,-496.175751
EZLZ,Health Care,-448.079712
TUGY,Information Technology,321.915131
CJIS,Industrials,188.628677
WBPB,Telecommunication Services,-22.131962
ARWG,Health Care,-204.477463
WVGA,Consumer Discretionary,155.158997
HVGR,Energy,340.537872
ZJMG,Financials,181.393295
RXCM,Utilities,-323.598572
FBKD,Telecommunication Services,-346.921478
LJGL,Real Estate,-315.950317
DNNC,Industrials,185.144531
EFKE,Telecommunication Services,-448.010681
HQEQ,Financials,321.402985
DREP,Industrials,-321.949310
BPYC,Consumer Discretionary,-18.601765
YXWI,Industrials,192.312668
EDQJ,Financials,-49.835262
RZUI,Energy,374.649323
LHZN,Consumer Discretionary,-96.012268
ITGP,Consumer Staples,135.134674
CWBV,Industrials,-234.481155
UAKI,Information Technology,-189.196136
BRJJ,Industrials,-106.654655
CSDL,Industrials,-129.138062
ERKI,Consumer Discretionary,280.634949
LOZE,Real Estate,220.766754
BZNX,Health Care,-9.838710
IMNO,Health Care,494.015442
ZPOB,Information Technology,131.622025
QGTY,Energy,-421.569427
UPLX,Consumer Staples,-197.905487
PZPM,Financials,384.204010
NLQC,Real Estate,-252.727402
ECBE,Real Estate,-401.308228
VLQM,Financials,-239.933929
JMQC,Energy,-373.117279
GTUI,Consumer Discretionary,-303.260101
PXNZ,Energy,307.141113
ZLIW,Information Technology,-60.529434
IXBJ,Industrials,106.922821
CODX,Information Technology,235.410934
SMPP,Industrials,224.663712
YVQZ,Consumer Staples,258.044434
SXTL,Energy,170.848358
OKZO,Consumer Staples,-322.665497
YNBS,Industrials,265.869446
VTWF,Financials,-283.230225
JKZG,Financials,-6.652913
VNUA,Telecommunication Services,-186.040588
ZFAB,Energy,-430.282898
NWYT,Industrials,-201.369186
RQXA,Health Care,-174.626785
RUBM,Telecommunication Services,340.084351
VUWC,Information Technology,-107.960114
EWZB,Energy,165.275101
REFR,Financials,122.591537
SZMC,Telecommunication Services,-112.876129
IUVQ,Consumer Staples,268.488098
TJUB,Real Estate,-251.292862
TCPY,Consumer Discretionary,114.899963
EYBL,Industrials,254.026459
NZVG,Health Care,-272.985413
RZBX,Consumer Staples,119.298775
JIGO,Consumer Staples,69.436020
NZHV,Health Care,-370.677307
NNFN,Financials,-101.101593
ZYSS,Energy,-48.700279
IWTA,Utilities,-28.615070
TYCQ,Telecommunication Services,147.501633
KMWC,Consumer Staples,317.017609
BUYM,Consumer Discretionary,172.436050
JEFM,Financials,-383.383606
KLLV,Financials,-199.703873
RQIA,Health Care,-141.445633
ZJHP,Utilities,-277.976135
GZXV,Utilities,-146.219421
IWER,Real Estate,220.019562
BHPK,Telecommunication Services,376.629028
GDTZ,Industrials,236.321701
DOPA,Consumer Discretionary,-449.131531
NMTG,Information Technology,-258.715637
UDLK,Health Care,-252.342453
FHAJ,Telecommunication Services,41.005219
XZRK,Health Care,-43.660267
GFDC,Utilities,-251.590103
XVZN,Consumer Staples,43.891842
IDPB,Consumer Staples,-71.090454
HDUA,Information Technology,-266.877136
EZKO,Industrials,254.972351
IXHI,Consumer Discretionary,-415.114319
CULT,Real Estate,292.172333
EQNA,Real Estate,-144.384872
MQZY,Consumer Discretionary,-442.722931
ERHM,Utilities,186.378342
QZGT,Consumer Staples,90.377121
JASV,Consumer Discretionary,-486.317566
OAEP,Real Estate,-344.233734
IHLQ,Information Technology,-260.583588
SGCC,Industrials,-402.362244
KDDZ,Industrials,291.340485
IPXI,Energy,108.427841
YHTX,Information Technology,-395.160828
NZXY,Utilities,-320.316437
DNTW,Financials,377.650208
VVHY,Real Estate,2.759636
PLUS,Consumer Staples,233.072357
OTGE,Utilities,55.959686
DGYZ,Utilities,446.974457
KUWQ,Energy,413.214600
MPZO,Consumer Discretionary,308.811584
HUPQ,Industrials,173.543167
XVEV,Real Estate,-55.572254
SWWZ,Utilities,-351.309723
DUVT,Consumer Discretionary,-466.403046
HFAH,Health Care,356.849426
COYR,Information Technology,-148.233887
KCAI,Energy,-442.093018
UCYU,Consumer Discretionary,-212.402786
JQMM,Financials,409.192078
MEIM,Telecommunication Services,289.280945
GKLJ,Real Estate,-167.143829
KDST,Consumer Staples,169.897919
TMIO,Consumer Discretionary,24.416212
BKQA,Financials,-394.566223
WTKL,Industrials,-358.572815
FZFI,Information Technology,315.506805
HNIA,Real Estate,-209.898010
DUTN,Industrials,-230.473648
TMVL,Financials,-38.021729
LEIY,Consumer Staples,476.379089
QVIH,Consumer Staples,-127.544846
WAHI,Health Care,490.918610
GSUE,Financials,-245.663742
CAKC,Telecommunication Services,-137.195770
PCZI,Real Estate,331.795593
GYFD,Financials,-146.347580
BIFN,Energy,-473.203156
BTVA,Utilities,-366.168976
DARR,Consumer Staples,422.620117
ZMTP,Utilities,362.738373
QOGD,Consumer Staples,-267.875641
INLP,Real Estate,-351.042084
NYEH,Consumer Discretionary,190.519669
FDZX,Telecommunication Services,-154.599960
ULIR,Health Care,-95.447891
OWML,Utilities,-168.089783
HCUX,Information Technology,475.526733
SBYE,Telecommunication Services,121.972717
PUXE,Utilities,-240.218140
SHPR,Utilities,-244.117981
BBCG,Health Care,43.204994
TASR,Energy,-21.428114
LRND,Financials,144.015686
VUZR,Consumer Discretionary,-128.463791
WCPV,Consumer Discretionary,-8.649465
JUTA,Consumer Staples,460.068939
OLUA,Energy,365.201141
DFUW,Industrials,-488.995697
PRLD,Information Technology,-71.486343
NBQM,Utilities,-399.529297
ZULS,Telecommunication Services,-280.666351
CMAV,Financials,112.113251
GAYT,Energy,357.873108
PNKL,Real Estate,453.974365
HIAM,Consumer Staples,-421.834381
ZBJB,Energy,408.747498
EVMZ,Consumer Discretionary,303.498444
XWVA,Health Care,56.100712
WKBH,Health Care,440.659576
PMJP,Consumer Staples,99.360451
IQCM,Industrials,-240.582413
GALT,Real Estate,-26.136173
YEHW,Telecommunication Services,108.627556
XLVL,Industrials,-370.945648
KCEY,Consumer Discretionary,382.876160
PHOB,Utilities,340.839752
TFTQ,Real Estate,-51.755150
HDWG,Health Care,-453.027618
SPOP,Telecommunication Services,263.662170
SOWH,Real Estate,290.501678
KJBS,Health Care,11.590472
OMWE,Consumer Staples,200.662399
RCBM,Industrials,-69.754143
IRET,Energy,56.943542
TNDA,Energy,-85.212868
BQJT,Consumer Staples,387.437042
QZFY,Information Technology,109.497086
WLBS,Industrials,-438.518127
SRAB,Financials,25.232918
OLQU,Health Care,-69.470047
IDFV,Information Technology,-42.767204
LLFQ,Consumer Discretionary,-87.109406
WJGE,Consumer Staples,-166.792480
DRLQ,Consumer Staples,264.411011
UMEL,Telecommunication Services,150.971985
TRKI,Consumer Discretionary,-276.132751
SXBI,Real Estate,234.564651
HCWF,Consumer Staples,-266.440857
KXFX,Real Estate,-331.050110
QPMQ,Telecommunication Services,165.534683
WJSI,Consumer Discretionary,-35.753746
TKEP,Consumer Discretionary,-64.271767
YWMZ,Financials,106.471603
NGAT,Information Technology,34.792931
WSTP,Real Estate,302.095398
SRBN,Consumer Discretionary,461.147095
NOZK,Utilities,-79.237617
PHLA,Consumer Staples,479.916534
BXYQ,Financials,-83.856468
WGXN,Telecommunication Services,-151.841583
WBES,Energy,278.880737
HSFS,Real Estate,251.445786
ROQQ,Consumer Discretionary,314.834991
DJFS,Financials,444.661041
UWVP,Utilities,315.464508
TEGY,Financials,492.452240
YYVY,Energy,50.360332
JZQA,Consumer Discretionary,-274.442657
RXYP,Financials,-189.584091
WFEM,Telecommunication Services,156.538681
GNBW,Utilities,-200.293137
HBWN,Consumer Discretionary,-155.554886
BIDK,Consumer Staples,-449.365570
SJKL,Consumer Staples,-124.839134
ENDL,Industrials,-293.025177
UJBK,Real Estate,491.897400
CRED,Consumer Staples,371.466461
YOMB,Telecommunication Services,-323.018829
BKUC,Industrials,10.479629
CBIN,Information Technology,199.041412
TCZE,Consumer Discretionary,266.022675
ZDNV,Telecommunication Services,374.506744
TGFZ,Real Estate,88.527908
PDPV,Consumer Discretionary,-81.912689
BVZJ,Real Estate,446.333557
HWFQ,Utilities,-176.904236
GRZX,Telecommunication Services,221.271561
KKPX,Health Care,-412.229126
TWXC,Energy,129.455368
QODZ,Health Care,-287.376801
WGLX,Telecommunication Services,-393.156555
OQWA,Information Technology,-153.807404
PZHV,Health Care,-100.430069
QBVI,Real Estate,-280.576691
TIGP,Energy,-73.738884
EHAN,Real Estate,145.961212
WXMB,Consumer Staples,-155.579239
IANB,Utilities,-135.083130
PHUG,Industrials,-384.105621
MXBL,Information Technology,41.535477
DJPR,Energy,478.755676
SRZX,Real Estate,-220.006775
FTCR,Information Technology,304.875244
BWSH,Financials,156.906464
YXKF,Utilities,-104.343330
FAYZ,Utilities,-23.989502
QAEF,Industrials,427.197296
JYXV,Energy,117.981628
QNDQ,Financials,-422.257568
WFMM,Consumer Staples,-347.204285
AAOT,Health Care,470.752838
DDWG,Financials,439.199646
CUYR,Industrials,476.944946
LEAZ,Information Technology,-189.355606
MZBU,Telecommunication Services,1.753929
UVAM,Health Care,295.530640
IFDH,Industrials,-126.383133
RZPB,Health Care,-325.678986
DTDP,Real Estate,-244.944000
AIUO,Consumer Discretionary,-173.475632
HASJ,Consumer Staples,156.081207
QWWL,Real Estate,-491.941284
TFJW,Telecommunication Services,-471.597717
APWE,Industrials,-217.067200
YAXA,Financials,-165.079498
NOPM,Information Technology,-471.440552
XBVO,Health Care,-413.520966
UEUJ,Health Care,-386.869110
PZLV,Financials,411.949554
RTJS,Real Estate,204.006226
HMXU,Utilities,315.050903
HYCQ,Utilities,66.976227
GZVB,Utilities,-0.794061
YNTM,Industrials,216.998901
YXER,Real Estate,381.056000
CEOM,Information Technology,223.014801
IKJJ,Utilities,393.247101
LEXC,Real Estate,417.310303
DGGC,Real Estate,399.935883
FGDE,Utilities,446.142365
KQZV,Health Care,437.473969
JKPE,Consumer Staples,-108.363655
YZNG,Consumer Discretionary,473.621429
RKWA,Telecommunication Services,-211.047577
PZEE,Consumer Staples,-334.171204
CTCZ,Information Technology,172.113220
KJMU,Real Estate,-166.574783
BZHH,Financials,77.950439
GBUX,Utilities,170.566605
ZNCO,Real Estate,347.044647
OHTS,Information Technology,-359.789429
TSWU,Telecommunication Services,262.602173
BEDN,Real Estate,154.419144
RPIB,Financials,-291.174774
CLGT,Health Care,16.789942
URIG,Health Care,-296.285156
KFOZ,Utilities,-310.019104
ETKF,Consumer Staples,250.051666
CQMZ,Consumer Staples,61.632282
MVBW,Industrials,136.813263
CIHW,Real Estate,-86.188087
PWOW,Industrials,-318.754700
RSHZ,Consumer Staples,-430.903595
GEXV,Energy,-322.531372
ESEH,Health Care,282.278839
ETFR,Energy,-479.894440
OFYX,Health Care,-250.722275
LQDU,Health Care,14.315714
SOWQ,Information Technology,49.175388
MKNG,Financials,107.612747
WFFS,Real Estate,235.738022
DLDA,Real Estate,-491.573792
NWNQ,Consumer Staples,428.293030
SZSG,Industrials,-120.582718
AMEJ,Health Care,-483.131683
BDRY,Real Estate,155.244232
AEGO,Financials,43.578327
MLMC,Consumer Discretionary,-132.008698
UKUQ,Energy,179.615494
QGQQ,Information Technology,-24.797144
ZLLF,Consumer Discretionary,174.508987
JLWF,Energy,337.626312
IJRW,Health Care,-162.432785
GHIF,Consumer Discretionary,471.233643
PJSY,Energy,453.094055
YJTU,Utilities,-51.702354
LKGF,Consumer Discretionary,126.358253
JYMY,Financials,-256.086243
ZFOK,Consumer Staples,363.873901
DSDT,Real Estate,212.034943
YJLG,Real Estate,-113.697807
DAAI,Consumer Discretionary,-490.418671
HJPI,Energy,46.919979
GUSR,Information Technology,339.953461
HHCX,Consumer Discretionary,289.288574
YGKK,Consumer Staples,175.825897
ZATL,Consumer Discretionary,456.835083
GBQW,Financials,-143.318405
BBIT,Information Technology,-472.498993
YYBD,Energy,-125.434097
QKDQ,Energy,206.753265
UTSB,Utilities,385.521729
BVXV,Real Estate,298.228729
RMLI,Information Technology,-81.900818
TJHD,Real Estate,259.339752
VIJS,Energy,481.486450
DVBW,Real Estate,-293.908722
VCJB,Telecommunication Services,135.414688
NTTL,Consumer Staples,-201.791199
SOSQ,Health Care,431.666992
EWTJ,Consumer Staples,-367.501038
ACXN,Real Estate,230.695724
CJQH,Energy,-234.835297
BNUA,Consumer Staples,-390.048859
BRDM,Utilities,18.499130
SJRG,Consumer Discretionary,432.995178
VXHI,Information Technology,-415.731079
OXAU,Industrials,-100.148994
ISHK,Consumer Discretionary,360.927673
BSOX,Consumer Staples,191.095459
DEKJ,Industrials,188.268814
QDTP,Industrials,-187.015411
GAOU,Consumer Discretionary,-166.342545
HBMM,Financials,-44.310341
INFD,Energy,-117.770103
OLAT,Health Care,132.227478
SHFP,Consumer Staples,-23.830957
PNLB,Industrials,-183.484787
ZGDF,Industrials,-350.087677
CFUB,Telecommunication Services,35.895840
YDEF,Financials,409.011230
OMMY,Energy,-384.994995
AIAN,Financials,190.605606
ZXJZ,Real Estate,151.662277
OOFM,Information Technology,186.033081
JSPU,Telecommunication Services,-310.748444
SUUQ,Health Care,-26.239143
GVVI,Telecommunication Services,286.699921
NUSM,Information Technology,303.577454
GPYB,Real Estate,-478.183838
ALVG,Telecommunication Services,-134.434860
ZVZJ,Consumer Discretionary,398.713104
CBRB,Health Care,96.856438
DWIZ,Utilities,-25.271187
EEEN,Health Care,178.170471
PBVJ,Energy,-336.937408
QXZO,Information Technology,253.613449
HJNQ,Energy,-473.511719
WXVK,Industrials,-370.955078
NARR,Consumer Staples,-32.139683
ZNNP,Energy,350.123169
ZDCH,Consumer Discretionary,430.937836
TBQW,Consumer Discretionary,113.828911
NKIB,Real Estate,-269.618103
XHJN,Health Care,314.191498
DSTK,Energy,394.113281
VKJT,Consumer Discretionary,-129.363541
JRQW,Health Care,-257.201874
KSXS,Consumer Discretionary,194.155609
KBOL,Real Estate,479.133057
IKOZ,Real Estate,60.661732
ONGI,Information Technology,18.251717
SNAK,Utilities,390.883942
JYAQ,Energy,-155.623398
ATUX,Real Estate,331.357513
FGQQ,Consumer Staples,465.659424
XSAQ,Energy,226.776062
SPDM,Consumer Staples,-276.741730
GVIP,Real Estate,-57.616199
NWWK,Energy,-130.848053
BJRD,Telecommunication Services,-306.762939
CLXZ,Information Technology,282.176758
JGJK,Consumer Discretionary,208.134277
FZXP,Consumer Staples,-397.772034
UTSL,Information Technology,-425.306671
ENLU,Telecommunication Services,271.148529
JABX,Consumer Discretionary,102.139595
NVLQ,Consumer Staples,38.916897
ELCW,Financials,-464.400726
GZIJ,Energy,-189.408218
AJKF,Telecommunication Services,-412.391113
PYOX,Telecommunication Services,-176.299484
ZTON,Energy,155.569809
BMYB,Energy,70.238289
CGTR,Real Estate,-234.179138
AXDN,Real Estate,324.467926
NOCO,Industrials,154.869751
GSZD,Utilities,-368.452454
FDYM,Consumer Staples,212.325241
XCMA,Telecommunication Services,310.501617
YIYS,Consumer Staples,-397.887695
FPHS,Utilities,392.395721
XFFL,Industrials,414.182159
WAZR,Telecommunication Services,-154.011017
HXCY,Energy,279.742096
ILEV,Telecommunication Services,-265.944305
OZFO,Telecommunication Services,491.633972
CMLM,Consumer Discretionary,423.138062
BTWL,Utilities,14.082583
AUXT,Industrials,305.505646
OWKI,Energy,-216.095886
MCTA,Health Care,-343.555908
GQMQ,Energy,-432.090088
QOJN,Utilities,-142.018463
TXXN,Telecommunication Services,-249.514542
GAZU,Consumer Staples,488.468719
LYCU,Utilities,486.476746
RFCH,Real Estate,65.952789
XWUM,Information Technology,-102.367622
BVVN,Energy,323.612305
ZRKK,Health Care,-479.486023
TPKU,Information Technology,-410.309723
MKZL,Financials,-407.664215
CVXC,Financials,-164.253342
COEY,Consumer Discretionary,141.892548
CMQH,Industrials,473.621918
QUJC,Health Care,-147.944580
RPTB,Consumer Discretionary,411.189972
XVHX,Real Estate,-14.002136
URKZ,Financials,-330.952911
ESUT,Real Estate,-196.280258
ATBZ,Information Technology,-155.751617
WLYG,Energy,264.652100
YCWF,Health Care,-16.897793
HTXH,Financials,-276.274017
EEBW,Telecommunication Services,-305.798798
ORGO,Consumer Staples,-173.210693
IXTY,Utilities,80.582718
UTOM,Consumer Staples,-0.059938
KQPE,Information Technology,122.723351
CZZO,Consumer Discretionary,413.577728
CINR,Energy,262.665192
XGVF,Industrials,99.303261
JZJO,Health Care,287.448395
AHIH,Real Estate,242.183990
LJAM,Financials,-422.333893
CCRB,Consumer Discretionary,123.200539
ASTH,Consumer Staples,-35.428295
XSRG,Real Estate,-338.991730
DHFE,Industrials,-468.308868
ICEA,Industrials,42.479568
BLYC,Energy,-57.648640
GHSP,Utilities,-431.494263
TPNR,Real Estate,-499.841309
KYKE,Utilities,-413.399323
MZFS,Industrials,-288.626251
HOJN,Health Care,403.716339
KXDR,Consumer Discretionary,200.713608
HTZE,Health Care,-180.750153
AQQR,Consumer Discretionary,161.409225
OELI,Telecommunication Services,259.213776
AAEJ,Health Care,376.239594
VGUH,Real Estate,407.853546
QLHJ,Financials,120.576950
KVTJ,Industrials,-86.073822
KSDY,Consumer Staples,180.264175
QJQP,Consumer Discretionary,242.562302
CYLX,Financials,301.239960
QVSA,Information Technology,-130.914856
NLBK,Energy,427.163605
QMJS,Information Technology,-220.260452
LDST,Consumer Staples,156.040161
HMVI,Utilities,-485.886475
EPLP,Utilities,244.845367
TLXH,Real Estate,266.863312
SWOS,Energy,292.150604
WADW,Information Technology,368.669647
ZGYC,Telecommunication Services,182.748093
PGGI,Consumer Staples,-388.817383
RRLB,Energy,134.275681
BJIE,Consumer Discretionary,347.476501
EKQN,Information Technology,110.841850
EBVW,Financials,482.100403
TBGJ,Consumer Staples,298.650940
CRYT,Real Estate,378.050476
SRHT,Industrials,52.627827
SCXK,Energy,-296.221466
JLCJ,Energy,-448.043213
SFXH,Utilities,269.666260
MKNO,Telecommunication Services,-116.138466
XECJ,Information Technology,465.220856
PRBL,Consumer Discretionary,-136.750671
MZEV,Telecommunication Services,215.129639
CLPS,Financials,-65.937561
KRMK,Information Technology,-443.670135
XCBI,Financials,-69.602585
KUHD,Telecommunication Services,497.777924
FJIH,Real Estate,-249.119965
WTFT,Consumer Discretionary,140.671982
CKAF,Utilities,5.959624
NLAQ,Health Care,283.479401
UBGV,Utilities,134.312027
QCEJ,Utilities,-481.860535
AZZZ,Utilities,390.713562
EOSF,Telecommunication Services,-361.633820
TIPP,Information Technology,77.671165
SCLI,Energy,349.400970
TTNE,Energy,-453.287506
RFKC,Consumer Discretionary,-139.171997
VXDE,Information Technology,-286.886078
UJKC,Consumer Staples,178.989960
DAEG,Health Care,-381.635864
DJIN,Real Estate,-108.556168
ZIXH,Health Care,-321.176697
ZFYS,Financials,-54.855190
RBIL,Consumer Discretionary,412.244141
NFQP,Information Technology,185.779694
NGPI,Consumer Staples,397.294342
GGIF,Real Estate,150.755707
NABF,Industrials,-204.129242
PLJI,Utilities,102.367256
EITS,Consumer Staples,-83.521469
JBAI,Health Care,294.981781
YCPB,Telecommunication Services,-467.839294
UGZV,Financials,-479.374756
HAEQ,Telecommunication Services,31.671743
LUCW,Energy,434.354950
TENU,Health Care,63.453568
DUIP,Consumer Discretionary,-56.389355
OFRH,Financials,317.090149
DZET,Utilities,-66.228065
UYGC,Real Estate,-12.582690
SXSN,Consumer Discretionary,192.529465
RNGQ,Telecommunication Services,-333.652985
PKOB,Consumer Staples,-145.485092
AFYM,Telecommunication Services,384.368500
HJCE,Health Care,-101.444748
LENR,Energy,358.767609
YXIZ,Real Estate,-176.541336
QSNA,Industrials,-133.484116
RGBP,Telecommunication Services,381.316071
NKRT,Telecommunication Services,-62.372753
XUCZ,Consumer Staples,51.343334
WMYU,Utilities,105.133858
ZILL,Real Estate,217.855652
KJGY,Health Care,-195.938477
YNAQ,Utilities,318.368805
RCBG,Industrials,-262.053314
APQF,Energy,-181.306870
LYOD,Industrials,398.465912
YLYX,Energy,305.626923
YYQE,Information Technology,-153.509384
ECAZ,Utilities,232.444382
KDRM,Financials,-395.487579
YMGL,Information Technology,67.657829
HPAF,Utilities,445.300110
RBCQ,Consumer Staples,-415.574097
TTSW,Financials,101.067200
MXNZ,Energy,174.533127
RHXX,Energy,-232.754883
JDWS,Consumer Staples,395.533173
HFIA,Energy,446.799744
BSSR,Utilities,384.855591
AOSH,Utilities,-152.734207
AFIH,Industrials,490.690002
DDNN,Health Care,-84.811394
DCRG,Consumer Discretionary,-274.759247
JODS,Consumer Staples,234.630020
EVPG,Consumer Discretionary,-68.944275
TXTE,Health Care,-184.759644
JXMQ,Consumer Discretionary,-75.909363
HLSY,Financials,162.365402
TNGU,Financials,191.726883
ITOD,Real Estate,374.833221
CIMC,Utilities,-373.502502
ERGN,Information Technology,-168.394669
VKRH,Consumer Discretionary,-235.000000
ZRNV,Industrials,329.752106
ATRQ,Health Care,370.266388
ZYHP,Consumer Discretionary,-407.703461
KFEX,Industrials,-460.256989
GEMX,Industrials,-115.767479
GZFP,Telecommunication Services,123.460190
KBBK,Consumer Discretionary,-389.808594
HCQP,Energy,254.522568
HMVO,Consumer Discretionary,-450.661865
KCPK,Consumer Discretionary,-76.874054
MGPZ,Energy,472.758148
LUJZ,Information Technology,84.352608
JSNF,Health Care,-103.748924
BDFF,Energy,-293.829559
WOSI,Consumer Staples,137.131439
BXRQ,Energy,-341.834320
PCNV,Telecommunication Services,-34.873684
CSTN,Health Care,154.179474
QIJE,Real Estate,20.039156
BDKJ,Industrials,-235.586014
GZRX,Financials,-483.412292
DXKO,Utilities,-230.307877
FSCZ,Telecommunication Services,304.123108
CKJF,Telecommunication Services,-360.757416
FVDG,Industrials,-149.272324
LECZ,Utilities,-178.130005
GAZR,Industrials,367.556396
SAXB,Real Estate,-433.029388
AJXT,Energy,-50.892452
HXME,Health Care,238.092438
NBQJ,Industrials,399.043304
XNCA,Consumer Staples,-290.614197
PNYI,Financials,-52.242592
HWKU,Telecommunication Services,-74.172890
VQFU,Financials,213.819519
HTCD,Real Estate,387.255096
XIVQ,Consumer Staples,-180.824066
UHSI,Real Estate,202.880493
NHDO,Consumer Staples,9.651814
NPNQ,Consumer Discretionary,264.226868
VSTA,Real Estate,-41.669239
BRJP,Consumer Discretionary,-453.255402
TBWJ,Financials,-338.838348
FLIO,Energy,116.335365
SQJX,Consumer Staples,169.341873
KUDW,Utilities,353.869293
QSGK,Financials,-142.208374
JDAS,Consumer Staples,-224.917786
KGVC,Financials,374.937012
NAMI,Real Estate,-8.824823
OYPD,Utilities,211.122559
SZMD,Telecommunication Services,-24.842493
ZMPC,Industrials,162.080750
TLHL,Consumer Staples,111.756096
MTQT,Telecommunication Services,190.472794
NDPK,Utilities,-304.509155
JKPW,Consumer Staples,-351.930664
LTZC,Consumer Staples,45.828365
BTPN,Financials,111.682060
EVEK,Energy,-204.848663
EOHI,Financials,185.175385
IYZV,Health Care,-476.738190
NYYU,Telecommunication Services,-126.704796
KVAU,Consumer Discretionary,483.323212
MQCD,Information Technology,226.034973
TQKC,Energy,26.713308
BWUX,Financials,7.026490
OQIO,Consumer Discretionary,22.926207
GCFJ,Consumer Staples,-152.260605
SMZK,Utilities,100.512802
LBEH,Industrials,109.664146
ANDT,Consumer Discretionary,-357.182281
NPJN,Financials,301.134735
RGTK,Consumer Staples,-26.426954
YCKL,Industrials,-177.165710
WKXD,Telecommunication Services,-72.147377
YVGJ,Utilities,359.471100
JXLZ,Industrials,-484.277252
BBIX,Consumer Staples,343.610626
FMUX,Energy,407.408600
PKKF,Consumer Staples,-331.614716
NQKO,Real Estate,6.416547
RUBW,Health Care,-323.609467
